,industry,countryCode,organizationTypeCode,organizationSizeCode,ageRange,gender,scoring
0,Information Technology & Services,ES,P,B,31-40,Male,Win
1,Internet,DE,P,B,31-40,Male,Win
2,Information Technology & Services,GB,P,B,18-30,Male,Win
3,Hospitality,ES,O,C,41-50,Male,Loss
4,Accounting,US,S,F,41-50,Male,Loss
6,Management Consulting,ES,D,A,18-30,Female,Loss
7,Internet,ES,P,B,18-30,Male,Win
8,Financial Services,US,P,A,41-50,Male,Win
9,Computer Games,GB,P,A,31-40,Male,Win
11,Internet,US,C,F,18-30,Male,Win
13,Airlines/Aviation,GB,P,A,31-40,Male,Loss
14,Financial Services,US,P,B,31-40,Male,Win
20,Computer Software,GB,P,C,31-40,Male,Win
21,Internet,PT,S,B,18-30,Male,Win
22,Computer & Network Security,US,P,D,18-30,Male,Loss
23,Marketing & Advertising,US,P,B,18-30,Female,Win
24,Staffing & Recruiting,US,P,A,18-30,Female,Win
25,Retail,AU,P,A,31-40,Male,Win
26,Information Technology & Services,DE,P,C,31-40,Male,Win
29,Hospital & Health Care,US,P,B,41-50,Male,Win
31,Oil & Energy,NL,C,H,41-50,Male,Win
32,Information Technology & Services,BE,D,A,31-40,Male,Loss
33,Education Management,FR,D,D,18-30,Female,Loss
34,Marketing & Advertising,US,P,B,51-60,Male,Win
35,Information Technology & Services,ES,P,C,41-50,Male,Win
36,Information Technology & Services,US,P,B,18-30,Male,Win
37,Information Technology & Services,CH,O,A,31-40,Male,Win
39,Information Technology & Services,NL,S,A,31-40,Male,Win
40,International Trade & Development,HU,G,C,18-30,Male,Loss
42,Furniture,CH,C,C,31-40,Male,Loss
43,Information Technology & Services,LU,P,B,18-30,Male,Win
44,Higher Education,ES,D,B,31-40,Male,Win
45,Financial Services,GB,P,B,31-40,Male,Win
46,Information Technology & Services,DE,O,C,31-40,Male,Win
47,Computer Software,IT,P,A,18-30,Male,Win
48,Marketing & Advertising,US,P,C,31-40,Male,Win
50,Food & Beverages,US,P,C,51-60,Male,Win
51,Computer Hardware,ES,C,C,31-40,Male,Loss
53,Investment Management,US,P,D,51-60,Male,Win
54,Internet,US,C,H,31-40,Male,Win
56,Apparel & Fashion,FR,P,H,18-30,Male,Loss
57,Computer Software,SE,P,E,18-30,Male,Loss
58,Wireless,ES,O,A,18-30,Male,Loss
59,Computer Software,SE,P,E,18-30,Female,Loss
61,Animation,FR,C,D,18-30,Female,Loss
62,Management Consulting,GB,S,H,18-30,Male,Win
63,Telecommunications,GB,C,H,31-40,Male,Win
65,Internet,US,C,H,18-30,Female,Win
66,Government Administration,US,G,G,31-40,Male,Loss
67,Accounting,US,C,A,51-60,Male,Win
68,Government Relations,GB,G,C,31-40,Female,Loss
71,Human Resources,US,C,H,51-60,Male,Loss
72,Design,DE,C,B,31-40,Male,Win
73,Computer Software,RU,P,F,18-30,Male,Loss
75,Gambling & Casinos,US,C,H,41-50,Male,Win
79,Information Technology & Services,PT,S,C,31-40,Male,Win
80,Telecommunications,US,P,A,18-30,Male,Win
81,Wholesale,ES,P,D,31-40,Male,Loss
83,Food & Beverages,CH,C,H,31-40,Male,Win
84,Electrical & Electronic Manufacturing,CH,C,H,18-30,Male,Loss
85,Information Technology & Services,DE,P,C,18-30,Female,Win
87,Computer Software,US,P,D,18-30,Male,Win
88,Human Resources,DE,P,B,31-40,Male,Win
91,Management Consulting,GB,P,E,31-40,Male,Win
92,Mechanical or Industrial Engineering,SE,C,G,18-30,Male,Loss
93,Textiles,FR,O,C,31-40,Male,Loss
94,Insurance,US,P,F,31-40,Male,Win
95,Management Consulting,US,P,A,18-30,Female,Win
96,Information Technology & Services,PT,P,C,18-30,Female,Win
98,Automotive,ES,P,G,18-30,Male,Loss
100,Mechanical or Industrial Engineering,PT,P,B,31-40,Male,Win
101,Computer Networking,US,P,B,18-30,Female,Win
103,Design,NL,P,B,18-30,Female,Win
105,Gambling & Casinos,GB,C,H,18-30,Female,Win
106,Utilities,BR,P,F,18-30,Male,Loss
107,Business Supplies & Equipment,ES,P,C,41-50,Female,Loss
110,Venture Capital,DE,P,A,41-50,Male,Win
111,Information Technology & Services,ES,E,A,18-30,Female,Loss
117,Online Publishing,AU,P,A,31-40,Male,Loss
118,Gambling & Casinos,LV,C,F,18-30,Male,Loss
121,Sporting Goods,CA,P,B,18-30,Male,Loss
122,Higher Education,DE,D,A,31-40,Female,Win
124,Gambling & Casinos,MT,P,C,31-40,Male,Loss
125,Food & Beverages,ES,C,C,31-40,Male,Win
128,Gambling & Casinos,MT,C,E,18-30,Female,Loss
129,Internet,GB,P,F,18-30,Female,Win
130,Publishing,US,P,D,18-30,Female,Loss
132,Computer Software,US,P,C,31-40,Male,Win
133,Construction,ES,P,C,18-30,Male,Win
134,Gambling & Casinos,GI,P,D,31-40,Male,Loss
138,Banking,NL,C,H,41-50,Male,Loss
139,Tobacco,US,C,H,18-30,Female,Loss
140,Information Technology & Services,CH,C,E,31-40,Male,Win
141,Hospitality,US,C,H,41-50,Male,Win
147,Information Technology & Services,US,C,F,31-40,Male,Win
148,Internet,SE,C,B,18-30,Male,Win
152,Broadcast Media,US,P,G,31-40,Female,Loss
